id,date,user,text
1205611752962048004,2019-12-13 22:13:35,bigwags,"“Men in rage strike those that wish them best.” William Shakespeare, Othello #angry #civilsociety"
1205606327306924032,2019-12-13 21:52:02,Whoopx2,Some cunt has just trashed my fuckin car. Not happy. Glass everywhere. Police called. Car parked elsewhere. 3shit things today. Anything else????#angry #someoneisgonnagethurt
1205601653128339458,2019-12-13 21:33:27,cebu_ty,"@fras99 It's not bullying 2 acknowledge a person's anger issues

You saw Greta's speech, right? Was it not an #Angry speech?

Who injected their self in2 the public forum, Greta or Barron?

If you want world attention, expect people to comment (which isn't bullying)on your angry behavior"
1205582766592708608,2019-12-13 20:18:24,debbirosenblum,@funder Pretty sure the American people will “stand for it”. We’ve rolled over already. #angry
1205580059647643648,2019-12-13 20:07:39,morganmoves,"Once again, TV not working correctly. Call to @virginmedia 45 minutes on the phone to two people, got nowhere. Asked to cancel my 3 month free introductory gift of sky movies, as can’t watch them. Answer- yes but your bill will go up by £5 a month. #avoidvirgin #angry"
1205578352767176706,2019-12-13 20:00:52,_Paul_Hill_,"#mentalhealth #selfcare 

We don't have to be #positive all the time.

It's ok to feel #sad, #angry,#scared and #anxious.

Having #feelings doesn't make us #negative people, it makes us #Human.

My feelings have run my life, for too long.

I let them flow by. They do pass 😊💚 https://t.co/K15tAZjVXF"
1205567109448785922,2019-12-13 19:16:11,camarcc,"@AqaraSmarthouse wouldn't it be awesome if the hub had an option to install a sim card? What to do when no wifi? Maybe in the future guys!!!! 

@Xiaomi @Xiaomify #Aqara #Smarthome #Homeautomation #video #cat #angry #silence #careful #backhome #nighttime #Starterkit #bundle"
1205564840183386114,2019-12-13 19:07:10,thotnauts,I made this today for giggles #angry #animation #gif https://t.co/HHMoXYkZZY
1205558122800205825,2019-12-13 18:40:29,Zoe_Cliff,"@Hermesparcels can you explain how a parcel has been signed for when I wasn't in and not delivered??  No signature uploaded as proof, no delivery card! Where is my parcel!!!! Your courier has either stolen my parcel or lied to hit delivery targets.
#worstdeliveryservice #angry"
1205558064327213056,2019-12-13 18:40:15,QuotesOnline4Me,"If I wish to compose or write or pray or preach well, I must be angry. T... #Angry #Wish  #FollowFriday https://t.co/SOXoquqZOM https://t.co/UzRXSkrcjz"
1205557944714022912,2019-12-13 18:39:46,configure__make,Angry Birds VR: Isle of Pigs gets a level builder - https://t.co/uhFuCE2NZn via @VentureBeat  #Gaming #VR #players #angry #builder
1205552149557633024,2019-12-13 18:16:45,Kitarious1,"So... what do you do when you're really pissed off? My friend is being a dick.
#mad #angry #Advice #help #CALM #down #Advice #Ineedtocalmdown"
1205551888814338050,2019-12-13 18:15:43,vampystreams,"#twitch #discord #discordserver #patience #selfhelp #success #emo #gothic #depression #sad #angry #vampire #clothing #tvseries #hiphop #tree #Fortnite #IULovePoemInMNL #ElectionResults2019 #Mandalorian #SidharthShukla #Impeached #Mandalorian #Z100JingleBall 

True facts https://t.co/nVCJT2IyGb"
1205550857766359040,2019-12-13 18:11:37,kjstark10,"#FridayThe13th😳! UR World can be #rocked @ anytime! U r #angry that’s okay! Be #authentic #feeling r real! #people #suffer 💔YES even during #Christmas!😢don’t forget! Just #Bekind! Ur #kids see that...buy 4 strangers, give $$$ 2 #needy! At the end...#be #proud of #you ❤️ #wins"
1205548339724509187,2019-12-13 18:01:36,yvonne_flute,"@AsdaServiceTeam hi ASDA, I’ve ordered a home delivery and for some reason it didn’t go through. Now I’m stuck without a delivery. #angry"
1205540148555010049,2019-12-13 17:29:03,smilinglaura,I have been unable to switch on the news since 11pm last night. I cannot bear the thought of the country electing this bunch of far-right nasties or seeing gloating Liar-in-Chief Johnson. What have the voters done? Where are their brains or their consciences? #angry
1205539276886331392,2019-12-13 17:25:36,MinLeeRice,Don't Get #Angry Being Overlooked - Just Saving the Best for #Last - Matt 20:16 - God is in the Blessing Business
1205532136163266560,2019-12-13 16:57:13,MaikeruDeibiddo,@Steam @FedEx So I ordered the Steam Controller and FedEx has been trying to deliver it but they won't even wait a min for someone to open the complex door to let them in. 3rd attempt today which they'll leave again and I don't have the option to hold it at a FedEx center #Angry
1205512779471478784,2019-12-13 15:40:18,Appapescom,#Angry #Birds Go! App Apes Review. https://t.co/RNM8wcyM3D #go https://t.co/DFOEXZT0pN
1205509328763052035,2019-12-13 15:26:35,RibbleBoy15,"@UKOutOfEU1 @wesstreeting @UKLabour And a touch, how do they say on this platform #triggered! Hopefully the translation is #Angry!"
1205508895084556288,2019-12-13 15:24:52,Altayo81,"@Topps You don't answer any mail with problem! I bought a box contain a autograph or sketch card but received only 6pack without the pack with autograph or sketch.
5mails, message on facebook, instagram and twiter...never have a answer
#angry #topps"
1205504225217781761,2019-12-13 15:06:19,GinnyHBall,@darrengrimes_ @HonestCitizen62 We need to see @JohnMajor on @BBCNews interviewed with #hurty and #angry @AndrewMarr if he can compose himself after last night's amazing victory😉
1205494127099559937,2019-12-13 14:26:11,valerioberdini,"I shall start realising #England is not the lovely niche of people in my #socialmedia depicts. 

It’s a #bigot, #angry country, #dreaming of a past they cannot get back and killing the #future for their own kids. With a lot of #hypocrisy, a lot of people… https://t.co/E535X8AyL5 https://t.co/K3XDeYpdRG"
1205488196370550786,2019-12-13 14:02:37,ShowMeStateGuy,"Go see a movie @GretaThunberg 
#Brat #Spoiled #Angry https://t.co/e9w7A58n5w"
1205487542277214208,2019-12-13 14:00:01,AqaraSmarthouse,"Want to know how not to make your cat angry 🐱🤬 when it is asleep 🤫 when going back home? 🏠🚶‍♀️🚶‍♂️
Find out how here: https://t.co/aKvzKKgQ4v

#Aqara #Smarthome #Homeautomation #video #cat #angry #silence #careful #backhome #nighttime #Starterkit #bundle"
1205481212178862080,2019-12-13 13:34:52,valerioberdini,"I shall start realising #England is not the lovely niche of people in my #socialmedia depicts. 
It’s a #bigot, #angry country, #dreaming of a past they cannot get back and killing the #future for their own kids.… https://t.co/TQFcJIpm68"
1205479017916317696,2019-12-13 13:26:09,ckach,"@replouiegohmert It is unbearable.
#Angry
#Sad
#Scared"
1205478705415540741,2019-12-13 13:24:54,deborahkass,@TheRickWilson @LulubellaN Here is #WhiteMaleSupremacy at work. Imagine Obama or Hillary behaving this way. #Angry #Hysterical #Emotional
1205478333070360576,2019-12-13 13:23:25,deborahkass,@minhtngo @mommamia1217 Here is #WhiteMaleSupremacy at work. Imagine Obama or Hillary behaving this way. #Angry #Hysterical #Emotional
1205471874525925376,2019-12-13 12:57:46,huntallenr,"@F3Xerox @F3Sonuvabench @F3UptownFunk @F3Greensboro I conferred with local authorities, aka @F3gsoRedDragon &amp; made an adult choice to cancel. Life is more than tapioca pudding dude. #angry #Oldman"
1205467902918504450,2019-12-13 12:41:59,BiaKhate,"And today my hair wanna killing me! Is it possibile that can they stay without becomes curli after h and h of #hair straightener? 
#angry #fightwithhair #iloose #agh #cantitrust #Damn_it"
1205462588697595904,2019-12-13 12:20:52,Galunacy,L7 shitlist on the stereo - getting out of this hell and going to Brussels - already had a jolly Belgian congratulate me on my new PM - he’s not my PM. #angry https://t.co/aCWmuL5jXu
1205449788491272194,2019-12-13 11:30:00,NatashaS_D,@FedhealthMed @FedhealthMed your consultant called on 27/11 saying the case was resolved and payment would be made but MediClinic just called to say I am being handed over to their legal team because today you declined payment!? #angry
1205447614713470976,2019-12-13 11:21:22,hbmutungi1,"Why You Shouldn't Speak When Angry and What to Do Instead
#angry #EmotionalIntelligence #strengthandconditioning #personaldevelopment 
https://t.co/7L5DTC2q4V"
1205443947532881920,2019-12-13 11:06:47,marvellousways,"Distraction #OfTheDay 
#Heartsick #Scared #Angry https://t.co/LWzK6lsWn7"
