id,date,user,text
1205608333845110791,2019-12-13 22:00:00,PMICpodcast,"#Fear:

None. Enjoy your Friday.

#DCsports"
1205607726086160384,2019-12-13 21:57:35,atzpoesysanfc,"Seventeen ‘Fear’ Seungkwan Fancam
#seventeen #fear #seungkwan #kpopfancams https://t.co/SWzhaIwaLu"
1205607577456955393,2019-12-13 21:57:00,supersimple1,"In order to #succeed, your #desire for #success should be greater than your #fear of #failure."
1205607245456633856,2019-12-13 21:55:41,ominydear,"(why you think kanye put her in the video? 

😅😂

#jealous
#fear"
1205604317992046595,2019-12-13 21:44:03,LindaBerman4,"“There is no hope unmingled with fear, no fear unmingled with hope.” – Baruch Spinoza

#hope #fear https://t.co/l7emZV5OjW"
1205600566862180353,2019-12-13 21:29:08,JesseStrelow,"Forgive the Anger https://t.co/pNnqmvjxG7 via @JesseStrelow 

 #soldiers #tipsforsuccess #begin #forgive #militaryveterans #principles #fear #desire #socialmedia #soldierforlife #faith #trust #mindset #consultant #happiness #mindfulness #anger  #growth #results #leadership #skill https://t.co/4JaN6tIpig"
1205599018195259393,2019-12-13 21:22:59,BuildaKickAssCo,"#Failure isn't a character flaw; it's a path to #growth and it is unavoidable. We're often scared to fail, but we limit the #opportunities and #chances we take based on this #fear. In this weeks #blog post, we discuss the fear of failure in the workplace https://t.co/ToJ6IPRUpY https://t.co/M1FKdiUAwE"
1205594890467450885,2019-12-13 21:06:35,kcren,"The first thing to remember when someone pulls a knife.
Or when starting a business. Or running one.
#Neverboss #empowering #leadership #startup #fear https://t.co/6Vkpv2e0iX https://t.co/iDGrLlxnyM"
1205594536929611777,2019-12-13 21:05:11,BlogFinch,"A wise person once said, ""Everything you’ve ever wanted is on the other side of fear."" #inspiration #quotes

==&gt; stop #fear from holding you back"
1205594142262345730,2019-12-13 21:03:37,2umediapro,Being the person I wish I had when I was a teenager has gotten me to where I am. Still fearful but brave enough to face it. #fear #strength
1205593821402324992,2019-12-13 21:02:20,RealCeliRoldan,"The #fear of the #LORD is the #beginning of #knowledge, but #fools #despise #wisdom and #instruction. Proverbs1:7"
1205592027615940610,2019-12-13 20:55:12,Eirik_W_Avseth,"@FrancCosta1 @SandhuMMA Hihihi...... 😂😂 

We will SEE. Khabiba is afraid to make a rematch. I understand that. IF he loses, he would lose SO Much.

#FEAR #IRISHKING"
1205591004012785664,2019-12-13 20:51:08,boost_up_living,"While your life is the true expression of your faith, whom can you fear?
-Julia Ward Howe
#quotes #quoteOfTheDay #dailyQuotes #Life #Faith #Fear #Expression"
1205590737720659970,2019-12-13 20:50:05,SiNCry0,"#FontanaPolice #JoshuaMacMillan #OfficerMacMillian
Fontana Police Officer JOSHUA MACMILLAN talks man down https://t.co/sObwIzSZzO via @YouTube
#TheStandard #standards #hero #praise #compassion #empathy #apathy #sympathy #fear #risk #duty #AboveAndBeyond #ControlFear #ConquerFear"
1205589960562282496,2019-12-13 20:47:00,Eirik_W_Avseth,"@HellscreaMMA @SandhuMMA Lol...! 😂😂 

Sniff sniff. 

#FEAR #KINGOFKINGSISBACK"
1205586445278306305,2019-12-13 20:33:01,Maaninkavaara,"“I am not afraid to die; I am only afraid of saying goodbye to you forever.”

Shannon L. Alder
#dying, #fear, #goodbye, #hope, #illness, #living, #love, #scared, #sickness, #truth"
1205584832593424386,2019-12-13 20:26:37,OwenGmanOsborn1,"""If you're short on passion, it might be because your #goals are too small or the #fear is too big."" - Seth Godin"
1205582300521451521,2019-12-13 20:16:33,dinakaplan,THRILLED to be featured in one of my best friend's podcasts talking about overcoming #fear fear. Check out this episode from @SarahAnneS on #iTunes and enjoy: https://t.co/1qpU1vwdzQ
1205578412498272256,2019-12-13 20:01:06,coofwomen,"Back yourself, always! Hope the week has treated you well xx Make sure to rejuvenate for the week ahead. #TaraLorigan
.
.
.
#womeninbusiness #companyofwomen #forprofitforgood #femalesuccess #nz #champion #girlboss #quote #business #women #leadership #Fear https://t.co/5Jswgcztxr"
1205577414899748864,2019-12-13 19:57:08,SnowGigglesAK,It’s been a month. I am not with it. I am not even near ‘it.’ #Fear is my constant #companion and it is paralyzing. Wondering how to snap out of it. Suggestions? #impostersyndrome
1205577070220365830,2019-12-13 19:55:46,DrHSmithReports,"Stop Your Stress With A Safety Signal:
We can neutralize our stress and anxiety with song, a stuffed animal, and even another person according to Yale and Cornell psychologists.  #Safetysignal #Fear #anxiety #happyplace https://t.co/ic0hsBgrmw"
1205576490622095360,2019-12-13 19:53:28,TalebWisdom,"""The modern hypocrite gives the designation ""respect"" to what is nothing but fear of the powerful."" - Nassim Nicholas Taleb #fear"
1205575658698469376,2019-12-13 19:50:10,flightwit,AARP article: How to Conquer Your Fear of Flying https://t.co/ZH4TCvgmUw #fear #flying #airline #airplane #panic https://t.co/4T50ofgZN7
1205573597085020160,2019-12-13 19:41:58,Yougoz,"Sometimes we let our #fear limit us, sometimes we let our fear prevent us from overcoming #challenges. It is time to challenge those limits and see what you’re truly made of. 

#Fitness #Fitnessmotivation #exercise #yoga https://t.co/G4oIBkCH7i"
1205573003041366016,2019-12-13 19:39:37,johnjamesford,#prophet of the #NewWorld #LouisRiel https://t.co/qjJpgnFbkm #poem #amwriting #poetry #Canadian #history #editing #Riel #Metis #racism #mentalillness #religion #fear #anxiety #capitalpunishment
