id,date,user,text
1205611527220260864,2019-12-13 22:12:41,KevinShinick,"#fbf to our portrait of pop culture! 

#RobotChicken #Godzilla #StarWars #HomeAlone #MAD #GregtheBunny #SpiderMan #ScoobyDoo #XMen #AdultSwim #TrickRTreat #FamilyGuy #AustinPowers @SethGreen⁩ ⁦@IncredibleCulk⁩ ⁦@kbcdefg⁩ ⁦@Mike_Dougherty⁩ ⁦@DanMilano⁩ https://t.co/2AOX0v6h6p"
1205605558419673093,2019-12-13 21:48:58,teddythebengal,@olddogpaddler Puppy is next 😂 maybe might squeeze another kitten in first 😻😂 #mad cat lady
1205604997506969605,2019-12-13 21:46:45,ginminvin,"Chic little vintage 1970s Skirt Suit, #GINGERMINTVINTAGE #1970's Skirt Suit,#YoungJaeger UK 8, US 4.Vintage Floral #Secretary Style Pleated Skirt and Pussey Bow Blouse.       #Mad Men 1960's-70's #Preppy Suit https://t.co/ajoToiQMRT https://t.co/H8B9Zh6Arq"
1205603916278198273,2019-12-13 21:42:27,MummieLuv92,M.A.D BECAUSE I CAN DO IT ALL BY MYSELF... BUT I SHOULDN'T HAVE TO. #MAD
1205596606973661186,2019-12-13 21:13:24,Jacquelynxoxx,"PLEASE TELL ME YOU ARE JOKING @FashionNovaHelp 
Then in the email you can’t tell me which item you were unable to fulfill .... #mad y’all do know you messed up my festival fits 😡🤬 https://t.co/rOSQg63IBV"
1205575470877728773,2019-12-13 19:49:25,RaminKhosravi3,"@DNC @CNN @SpeakerPelosi @RepAdamSchiff @RNC #WalkAway #WakeUpAmerica

Is so sad to see #Congress bullying are #ourpresident I don't care if you #Democrat or #Independent or even not American you should be #mad we have to #stopbullying because we don't like someone."
1205575251125571590,2019-12-13 19:48:33,Rsspicey,Who’s in Abuja? Let’s hook up! I’m a new resident here.. I want to discuss  business opportunities...( male or female)#DaVido #Oswald #FridayThe13th #BET9JA #mad
1205572171717844993,2019-12-13 19:36:18,BaggieBoy72,"Friday night at work whilst in a annual leave 🤣 #mad #itgeek

@ITSAPEPPER Overnight a 4th SSD drive degraded 😖 managed to replace 2 this evening and they are now rebuilding. I’ll manage the other 2 tomorrow when I know it’s safe 😬 https://t.co/jZptBITk3X"
1205569391674433538,2019-12-13 19:25:16,AshleyJeffcoat8,"@ChikFilACali I live in Jacksonville, Florida and just had the worst experience on my break. Went to get two chicken sandwiches large fry large cherry cook. What I got was one burnt chicken sandwich, one right made, a large Diet Coke and a large fry with a hair on it. #mad"
1205562991099314176,2019-12-13 18:59:50,DUNKNOWN1,"I saw that over 1500 followers #suspended or banned I'm like #wtf 🤔 #wth going on #FBRParty #RussianRepublicans #MAGA 
#cult45 #mad #asf #shithappens #nmp #skunk #bebest at being #Impeached https://t.co/2O7tomQ3Ex"
1205559944948408320,2019-12-13 18:47:43,Biggdavet,@Tineo1983 hitting her swim wod with swimcoachsam as she prepares for @thewodapalooza Lauren is competing in the 35-39 division.  #girlswholift #mad #madwomen #crossfitgirls #crossfit #crossfitathlete #masters… https://t.co/7QxdMyZ0Gt
1205555392761065472,2019-12-13 18:29:38,PXKMProductions,BEEEFFFFF! starmaladee #beef #drama #babyyoda #mad https://t.co/jA3Ef0DpVq
1205552149557633024,2019-12-13 18:16:45,Kitarious1,"So... what do you do when you're really pissed off? My friend is being a dick.
#mad #angry #Advice #help #CALM #down #Advice #Ineedtocalmdown"
1205544715648565250,2019-12-13 17:47:12,vasundhar,#Mad #ads and #Trackers Thank you @The_Pi_Hole ! #Pihole https://t.co/bdsF8Q8Owi
1205541672865685505,2019-12-13 17:35:07,rise_teen,Haha!!! Happy Fun Friday yall !! Who is ready for it to be the weekend and/or be ready to be out of school? I know this kid is!! Haha!! #Funfriday #memes #riseupteen #teen #weekend #school #classroom #education #teensonly #education #students #middle #high #emotions #social #Mad https://t.co/Jkw1FtdR0d
1205533974900158465,2019-12-13 17:04:32,arianamlittler,I wish these people didn’t control me so much 😫.I don’t need them. #annoyed #mad
1205532949346758656,2019-12-13 17:00:27,sahaneserseri,"""That affair with #LordByron tends to anchor the world's impression of #CarolineLamb.She has long been defined by it&amp;especially by a stream of criticism that stems from #Byron,whom she described as '#mad,#bad&amp; #dangerous to know.' though he never heard that phrase in his lifetime"
1205529186695139329,2019-12-13 16:45:30,OnlyBrayden,"216 meters of disrespect. He’s mad. 🤣🤣 
.
.
.
.
#fortnite #snipes #twitch #clips #streamer #yikes #eboy #twitchclips #live #freeagentfortnite #clans #fortniteclansrecruiting #fortniteclanstryout #mad #signme… https://t.co/lUVLDSwMOA"
1205525404645236736,2019-12-13 16:30:28,mydailypolls84,"Round #1: 2/6:
Whose your favorite male artist, out of the following?!?  @Brandoncolbein #Mad @ChristianBmusic #Spark @jaafarmusic #Daliah"
1205524396347215873,2019-12-13 16:26:28,hneyseok,i’m ##mad that i missed it but i’ll rewatch l8r yasss
1205520302811181061,2019-12-13 16:10:12,DelarosaMatthew,EVERYONE PLS STREAM THIS AMAZING SONG @Brandoncolbein truly deserves it all🎉 #mad #stream #RETWEEET https://t.co/V3XIDnLRP7
1205510623808958465,2019-12-13 15:31:44,rsball7,"If not for the #bluewave2018 the WH n the complicit @GOP would be getting away w/this BS.
Yelling n screaming like idiots bcuz they #Mad n #Guilty AND #Caught
#ImpeachmentDay
#ImpeachAllOfThem"
1205497462410170368,2019-12-13 14:39:26,valhallabckgirl,Love seeing Angry Star Wars Fans getting #mad online and their dicks falling off https://t.co/EGHLNYLBcR
1205491588849446912,2019-12-13 14:16:06,thedaywedecide,"@keithtracey8 How about a now slogan:

#MAD - Milk Americans Dry"
1205486379720949760,2019-12-13 13:55:24,mallanabx,#SNP had only around 31 percent of the Scottish vote. Lib Dem’s had around a 1/3 of the amount of votes labour had yet had to 1/20 of the amount of seats. #Bit #mad #eh #GE2019
1205485998618161155,2019-12-13 13:53:53,iamanjumsohail,"...Bye #Mad... — travelling to Athens, Greece from Aeropuerto de Madrid-Barajas - MAD https://t.co/QaBTBBsQlZ"
1205485213742182402,2019-12-13 13:50:46,sahaneserseri,"After their firstmeeting,Caroline summed #Byron up as:‘#Mad,#Bad&amp; #Dangerous to know’
BUT thishuge redflag didn’t deter Caroline,who immediately followedup with:‘That beautiful pale face is my #fate'
And so in1812 thepair started what wouldbecome history’smost #illadvisedaffair https://t.co/MBCUuUyq96"
1205481082226790400,2019-12-13 13:34:21,QueenDirtyRedd,"My mornings be like “What you mad for?! 💋 #mad LINK IN BIO‼️ 💥💥💥💥💥💥💥💥 @ Winter Springs, Florida https://t.co/zO3I73nQ1R"
1205480103259648000,2019-12-13 13:30:28,MaryLeeRosee,"Tonight is gonna be fun! 🤟💪🏻

#MAD #DirtyPretty #Intergenderwrestling #wrestling #tagteam #Montreal #Hochelaga #mtl #Friday #TGIF #Vendredi #lutte https://t.co/h66ZRrlPbQ"
1205478333145911296,2019-12-13 13:23:25,nimmysmalls,When you were this bad last night but it’s #LDOT #MAD #ONE https://t.co/Pc1Z1GK4uM
1205475723374280704,2019-12-13 13:13:03,gdlcolorado,Christine Hyatt told KKTV in Colorado Springs that thieves have stolen at least 20 packages from her porch and last Wednesday was the third time she was able to dupe the criminals into removing her garbage for free. #Smart #Don't #Get #Mad #Get #Even
1205473792438308864,2019-12-13 13:05:23,llllizdog,@BB_Nugget Good job bb even tho I’m #mad about your fb post still love y tho
1205446856643203072,2019-12-13 11:18:21,BIGMRC3000,"Credit via: nflnetwork (@get_regrann)  -  The rook is shining for the raiders 🙌  - #regrann 
.
.
.
 #LABRON [#grindfacetv #thestreetblogs #wecangrowyou📶 #wecandoit #lostones #hiphop #dcyoungfly #worldstar #mad… https://t.co/2uyZP1SiRD"
1205444441944788992,2019-12-13 11:08:45,BIGMRC3000,"Credit via: nflnetwork (@get_regrann)  -  ✍️ “Lamar Jackson” in the NFL record books!  - #regrann  
.
.
.
#LABRON [#grindfacetv #thestreetblogs #wecangrowyou📶 #wecandoit #lostones #hiphop #dcyoungfly #worldstar #mad… https://t.co/1JZAzzSnWk"
1205436657408913410,2019-12-13 10:37:49,AmigaGuruBlog,The #Commodore 64 2020 - Retweeted - #RetroGaming #GamersUnite #WPUGamers #VideoGames #AmigaGuru https://t.co/vNdea0XXyz #buggyboy #c64 #c64reloaded #camels #cinemaware #defendersofthecrown #jeffminter #mad #mayheminmonsterland #parkpatrol #spyvsspy #summergames #turrican #yak
1205436310023892995,2019-12-13 10:36:26,sfzainee,bago ako matulog i told you to take care. anong ginagawa mo? you’re not taking care of yourself. #fEeLINGaNgrY #mAd
1205434383760539649,2019-12-13 10:28:47,designbyimagine,"Some very sad news, the poor girl must be in tears 😂 #Russia #funnypicture #pmsl #joke #russianolympics #mad #comedy #funny https://t.co/nFbK7zSaGb"
1205433373017161729,2019-12-13 10:24:46,GabCurse,"@realDonaldTrump #BorisTheSpider?
#Braggarts

No more “#Deals” plz
#Mutual #Admiration #Societies
#MAD Mutually Assured Destruction

@librarycongress please separate DJT from the #LaunchCodes now plz? @TJMonticello rolls in his #grave

We’ve struck a #Faustian #Bargain &amp; sold r souls 2 the #devil https://t.co/u2XhYXFTDv"
1205433264716079110,2019-12-13 10:24:20,GabCurse,"#BorisTheSpider?
#Braggarts

No more “#Deals” plz
#Mutual #Admiration #Societies
#MAD=Mutually Assured Destruction

@librarycongress please separate DJT from the #LaunchCodes now plz? @TJMonticello rolls in his #grave

We’ve struck a #Faustian #Bargain &amp; sold r souls 2 the #devil https://t.co/ckz3ALPAuy https://t.co/TxDIrNyey5"
1205426745282826241,2019-12-13 09:58:26,ShinemanD,"Can't still catch on the reason why @iamkissdaniel use to titles his song four letter words🤔
#woju
#laye
#kudi
Now it's #jaho #anotherconcept #mad https://t.co/MSymTcbJce"
1205423740265254912,2019-12-13 09:46:30,SwtSukhInsan,"#instagood
#photooftheday
#love #blackandwhite #fashion
#blackandwhitephotography #beautifulday #happy #cute #naughty
#insane #mad #mood #madewithlove #instamood @ My Sweet Home Sirsa https://t.co/GIj21VTT09"
1205404369140768768,2019-12-13 08:29:31,AshMindSet,@growth247 @bodymind_1 @vanillaweb @MissPandaCoLabs @TheUniqueBouti5 Why would anyone entertain any negative beliefs? That's just #MAD
1205386662412460033,2019-12-13 07:19:09,FlightClaimEU,"British Airways flight #BA7051 from London #LHR to Madrid #MAD on December 12, 2019 was late by more than 3 hours! Claim up to 600€ in flight delay compensation per passenger by clicking here: https://t.co/GPSx38Xlgk, #flightdelay, #BAdelay, #BA7051delay"
1205382101731860480,2019-12-13 07:01:02,MartiniMermaids,"Glamour Girl Style Retro Rockabilly Jewelry &amp; Accessories.....www.MartiniMermaid.com 
#trending #etsy #giftforher #mothersday #gift #giftguide #hollywood #regency #vintagejewelry #artdeco #jewelry #rhinestone #1950s #rockabilly #weddingjewelry #bridaljewelry #bridesmaidgifts #mad"
1205380123064709120,2019-12-13 06:53:10,rijiriji,Still haven’t gotten over #ILGWT. Good one @beatsbysarz x @thisisWurlD #Mad on repeat.
1205378160566530048,2019-12-13 06:45:22,marissakellyyo,Yo @TheVoiceABSCBN PLEASE STOP VOTING FOR JAKE HOOT HE SUCKS ACTUALLY VOTE FOR SOME TALENT #mad #thevoice
1205372098912362501,2019-12-13 06:21:17,mORGANICo_cOM,"@BlackPanthaaYT @stormzy To create the U.K. as another Cayman island tax haven to enable rich bank$ters to get even richer? That’s all its for, the racism , xenophobia &amp; facist tones of #brexit hate mob was whipped up by #tory media to get the sheeple public turkeys to vote for their own Christmas. #mad"
1205370423094972416,2019-12-13 06:14:38,theladymacduff2,My husband just abandoned my what the heck. I cannot believe this coward I’m #sad&amp; #mad #crying
1205367434678538241,2019-12-13 06:02:45,MacLiv,"@scotmacscotbot @IBlackfordSNP @theSNP We need to push them hard now, they will soon realise the Yes movement mean business, if our politicians don't work with us then we will go our own roads to achieve this... 'm prepared to fight for it, I will not allow UKGov to destroy the futures of our children #MAD 
#IndyRef2"
1205366782502064129,2019-12-13 06:00:10,airportiacom,"British Airways flight #BA7051 from London #LHR to Madrid #MAD on December 12, 2019 was late by more than 3 hours! Claim 250€ in flight delay compensation per passenger by clicking here: https://t.co/HCKcxa8JOk #flightdelay, #BAdelay, #BA7051delay https://t.co/IpmaDRX7BO"
1205361870619561985,2019-12-13 05:40:39,coolrainz,"THX a million🙏🙏🙏 1ocals_only 
#localsonly #nike #hotpink #mad #dam #myfavorite https://t.co/z9sOhAhOGr"
1205359127964377089,2019-12-13 05:29:45,Kittycorgi,"Bath, no outside play and you didn’t share tea with me. So go away Mum. 
#corgi #mad #princess #castle #fluffy #pnwcorgis #rainyday #kfkirwinamazonbooks https://t.co/xk6ixDnImc"
1205357440243585024,2019-12-13 05:23:02,RADIOCAPITOLE,#webradio  #Info #Music #Information #Actu #Actualite #Media #faitsdivers #Justice #PaysBasque #Radio #Pau #Bearn #journal @radiocapitole  : #Ecoute ce Titre #Jasmine Thompson #Mad World  #Jasmine Thompson - Mad World https://t.co/36HOzJVl2T
1205355434162491398,2019-12-13 05:15:04,LivingSafely,"Travel Safety: Flying from Madrid airport Friday, December 13? Check news about your flight: https://t.co/Ba9iLnoq5W #MAD"
1205328997686661121,2019-12-13 03:30:01,siggiboston,Boston driver in training #boston #bostondrivers #road #roadrage #mad #junk #angry #pissedoff #car #toy #highway #mainstreet https://t.co/tqKeJKy3hF
1205307480491929600,2019-12-13 02:04:31,boston_hoax,#Boston #hoax #CrisisActor gets #mad because she inwardly feels #guilty for her involvement: https://t.co/ciJKjBT26i
1205306834040410112,2019-12-13 02:01:57,alanprice65,There is no way I am going to keep up with the results. I must be mad. Don't answer that. #Mad
1205293684427808768,2019-12-13 01:09:42,ElliotE33,"There are a lot of #Mad socialists in this thread, which is very unfortunate. They seem really upset about all of this, and that of course, is too bad. A real shame, if you ask me https://t.co/7xliwxVmqN"
1205280871227576321,2019-12-13 00:18:47,yogaworkswell,#slamdunks by Bill Barr and John Durham are coming for [The Left] they are #mad 😂 https://t.co/HGpMnGJoy4 https://t.co/vU6fP8ZY9u
1205280578951634945,2019-12-13 00:17:37,Above_Boonville,"#IBE6274 : #ORD (Chicago, IL) to #MAD (Madrid). 1.5 mi away @ 35000 ft and 77.0° frm hrzn, heading E @ 669.8mi/h 19:16:46 icao:344346. #WayTheHeckUpThere #FastMover #AboveBoonville #ADSB https://t.co/hkjFZIRTR2"
1205278678680248321,2019-12-13 00:10:04,FPlantains,This week's #NollywoodNotable is actress #AnnieIdibia! See her in films such as #Mad About You (2019) and Foreigner's God (2019) #FriedPlantains 📸:@ANNIEIDIBIA https://t.co/kl6JvQssQS
1205269438422929408,2019-12-12 23:33:21,cracklin_bacon,"@WhiteHouse Lmfao....democRATS have gone off the cliff... #delusional, #mad, #straightpotato"
1205266157453955077,2019-12-12 23:20:19,arfuh,@lmaomayli yeh it’s #sad ngl I’m more #mad I wish I #had a #pad with a #dad
1205262486867529729,2019-12-12 23:05:44,1776go,"He'd be great on the cover of #Mad, if they start up again. https://t.co/Aq8hYT5RWT"
1205257904854573057,2019-12-12 22:47:31,knight_aruna,"""Ohh, poor things... I haven't killed her yet, she's just sleeping in my illusion. Want to join her in my madness... sweetie? HAHAHAHA!!!"" Destiny laughs.

 Aruna remains lying on the ground, lifeless in eyes.

#aruna #destiny #originalcharacter
#dbfanart #mad
#destinyfinalform https://t.co/OTOVknytY9"
1205235272981442560,2019-12-12 21:17:35,mumblueprint,"@spettypi Omg, 100 effing times is he #mad? 
I stopped looking a couple months ago because it appears that is his full time JOB! Tweeting us into extinction! 😭😭😭😭"
1205228347866746880,2019-12-12 20:50:04,DJWENTZ_YWG,"You know what makes me mad the most?
Buying trash bags just to throw those same bags in the trash!

#Mad #trash #bags"
1205226057777008640,2019-12-12 20:40:58,InruTrafford,We had a special little Christmas visitor on the INRU today .... #Elfred #elfontheshelf #neurorehab #palliativecare #MAD #makingadifference @EOLC_TeamMRI https://t.co/681FeuZcok
1205223437347803141,2019-12-12 20:30:34,Printspixnremix,#MAD 66 DODGE A100 2 OF 5 #spy VS SPY MAD 2017 MATTEL HOT WHEELS https://t.co/W3UX0vIlgH https://t.co/NUvci16B9G
1205219413601013762,2019-12-12 20:14:34,babezanson,This looks and #sounds like so much #fun. Still #mad I'm not in it.😝 But I would like to go see it. #musical #alanis https://t.co/vyzPRsBnYO #JaggedLittleBroadway
1205191029596545024,2019-12-12 18:21:47,ralpha060461,Reminds me of an old Science teacher back in the day #mad as a match hare 😩 https://t.co/2BcIyeUXqM
1205189851697598465,2019-12-12 18:17:06,BrownAnddBoujee,There’s no doubt in my mind that MY lakers will win the championship this year if both AD and LeBron are healthy. The haters will be #Mad https://t.co/y43qixc7e6
1205185558479327233,2019-12-12 18:00:03,joshuaudoh70,Some of you here are now #MAD as in MOM and DAD
1205160374053605376,2019-12-12 16:19:58,AboveEde,"#IBE33GV (A320) : #ARN (Stockholm) to #MAD (Madrid). 0.5 mi away @ 36025 ft, heading SW @ 514.4mi/h 17:19:09. #WayTheHeckUpThere #FlyingFast #AboveEde #RaspberryPi #ADSB #dump1090 https://t.co/nAoeAfwuCI"
1205149534680051713,2019-12-12 15:36:54,freestockasobi,"【Bad Apple!!】Bad Kensaku!!FULL https://t.co/ruU15sunid #sm36077937 #ニコニコ動画 #Bad_Apple!!
#Bad_Kensaku‼
#MAD
#検索してはいけない言葉
#音MAD"
1205137908996292609,2019-12-12 14:50:42,markttvan,"GOT7 &lt;MAD&gt; Teaser Image
#GOT7 #MAD #니가하면 #Mark https://t.co/VXmkQUfeHG"
