id,date,user,text
1205602606044700672,2019-12-13 21:37:14,Treat1971,The Twin sister just left. #pissed #wrappingpaper #christmas #mortal @ Jesmond https://t.co/9PHwRs8QbW
1205596778558570498,2019-12-13 21:14:05,CassMoore2,"I just LOVE not getting my paycheck on payday. 🤬 
#Pissed"
1205592645008945152,2019-12-13 20:57:40,Memo_Pereyra,Why did the KIIS MIX suddenly stop on the the @iHeartRadio app? #pissed
1205585914354917377,2019-12-13 20:30:55,travisking94,When you order something off wish and it never comes in for your shared mother and self birthday 😅 #pissed😱😖
1205545537195216897,2019-12-13 17:50:28,tee_chanel,@jami_jai I spent $200 on just my hair yesterday and it doesn’t look any different lol #pissed
1205545057685790723,2019-12-13 17:48:34,Kunny246,"Love hearing about a rumor about me the second I enter my holiday party. This is why you keep to yourself, high school and all it’s BS  never fucking ends for some people. #Pissed"
1205526475832799233,2019-12-13 16:34:44,bakufuckr,@kendalldennison damn where’s my invite #pissed
1205524893464440832,2019-12-13 16:28:26,OGgraph,So @DerekNeb2015 passed on the opportunity to get us field seats for Montley Crüe stadium tour at Wrigley. #pissed
1205523170616381441,2019-12-13 16:21:36,BCherry216,| @playhousesquare Was a terrible location to host Dave Chappelle man smh. Was online at 10 on both my computer and my cell. Site crashed repeatedly..back to back after having tickets selected and everything!! I knew they weren’t going to be able to handle that traffic. #Pissed |
1205521563124150274,2019-12-13 16:15:12,youknowhatno,I'm still #pissed I missed microwave last month
1205509939827019776,2019-12-13 15:29:01,skeletonwife,on a bus and everyone looks #pissed #off bad vibes
1205508553169080327,2019-12-13 15:23:30,Samuel_blaze,"Why can't people be responsible with their shopping carts? Someone literally hit my charger with a freakin cart and it left a dent. I've been taking care of it so well, and even though I parked away from stuff, they take the liberty to do that #pissed #dodge"
1205503805787426816,2019-12-13 15:04:39,EiIeenQueen,If your little brother is too big for EVERY attraction or #rollercoaster in @Phantasialand 😒😠 #pissed
1205492004278407168,2019-12-13 14:17:45,caitlyndawn27,"WAY TO START OFF MY WEEKEND 😒 slept through my alarm, got in a wreck, late to work, and moving into my apartment on the 4th floor today.... happy friday the 13th TO ME #pissed"
1205480691317780480,2019-12-13 13:32:48,lovelyniqua29,Who throws up donuts 😤😤😤 #pissed
1205473985124810752,2019-12-13 13:06:09,CharliieLaw11,@Hermesparcels Why don’t you have a courier note on your tracking system? So when your courier can’t locate my address I can prompt them! I better get my parcel today #pissed #annoyed #GPS #courier #parcelfailure @ASOS you should find a new courier!!!
1205450821451862017,2019-12-13 11:34:06,Ayoosabb,Why did I have to sit next to someone who want the light on🥺🥺 #pissed
