id,date,user,text
1205607432313020417,2019-12-13 21:56:25,diFirst71_Tulsa,@mager @hestaprynnmusic Postmates is not too bad as I was refunded for the missing items. BUT it’s not a satisfactory resolution considering how rude their customer support representatives were and how long it took to resolve it. 🤔 😠 😤 #customer #custserv #sad
1205606899766505473,2019-12-13 21:54:18,kenyattagadson,People will agree with anything just to fit in. #sad
1205606381237219329,2019-12-13 21:52:15,TheOnlyChiaPet,"No @RepDougCollins...the reason people have such a terrible opinion of Congress is because people in Congress (like YOU) seem to find it difficult to grasp FACT, TRUTH, HONESTY &amp; INTEGRITY. You took an oath, now uphold it. PS-yelling doesn't help your false narratives! #sad https://t.co/bLeVe3R2nW"
1205605949009993730,2019-12-13 21:50:31,Ruknighttime,"@StevePoliti 
@PatHobbsRU 
And ""someone"" tried to slow play this from ever taking place.
#sad https://t.co/qkilPaqjaJ"
1205605777056129025,2019-12-13 21:49:50,CriaturitaSsj31,"Oh no!!!
#Sad #MemesYoutubers #elRubiusOmg #LegionHolk #HAILGRASA #SDLG #MomosRandom #MomosCorp #criaturitasdelseñor #Rubelangel #Rubina #MemesRubius #LauraSad #Sad #mielessad https://t.co/zl8rCzPx7C"
1205605202839117825,2019-12-13 21:47:34,Gros_Tabarnack,Bought fantasy lindblom yesterday. #sad #riplindblom
1205604775997276160,2019-12-13 21:45:52,Y2KRene,"listening to harry styles 
feeling #sad"
1205604121824260096,2019-12-13 21:43:16,JenLongshaw,"@realDonaldTrump You are a sad little man who mocks the disabled, bullies sixteen year olds who are trying to better the world, who whines when he is caught out in his criminal activities and is made to account for them. #Sad"
1205603827967242241,2019-12-13 21:42:06,hichaelmampton,Classic twitter. Twelve memes and dumb tweets in and you read the saddest story of your whole life...then keep scrolling. #twitter #meme #sad #life
1205603523746041856,2019-12-13 21:40:53,La__real,Sorry for bothering you. #sad
1205603380548104193,2019-12-13 21:40:19,xashee,"@MELANIATRUMP you are truly pathetic. i hope you read this. you're a sham, a do nothing, waste of air. you are in dire need of mental help. are you even capable of love? you look like you act, soulless! #sad #URnotBeingYourbest jmo, of course but i know i am not alone :) https://t.co/Idq8O8xSCo"
1205603225514074117,2019-12-13 21:39:42,voidprey,It's almost 2020 and some guys are still under 6'... #sad 👎
1205602989135794177,2019-12-13 21:38:46,Carol64653456,"@funder @beachnut826 AND this my fellows is the new Government listening, caring &amp; paying attention to their people.

#Sad"
1205602629532807168,2019-12-13 21:37:20,EdgarCGomes,"#FridayThe13th #December 2019 a #terrible #day and #sad #future for #UK 🤦‍♂️

So the lies won! Well done people! You voted for a Lying Pervert to be your PM. Hope it works out for you!

#NotMyGovernment #NotMyPrimeMinister https://t.co/65eJ7Iwdqc"
1205602504492359682,2019-12-13 21:36:50,BlueDuVal,And he can’t read. He only watches tv #SAD https://t.co/LlEbSziiHv
1205602285117685765,2019-12-13 21:35:58,VValtersMusic,"The Fakers by @VValtersMusic
please enjoy this new dark tune 
https://t.co/73MSUqMDa1

#newmusic #music #rec #dark #piano #moviemusic #videogamemusic #composer #creepy #sad #emotional #gothic #darkmusic #playlist #newsong #droplinks #newmusic #recommendation"
1205601981936676864,2019-12-13 21:34:46,jpmorgan26,@nytimes When a 16 year old is smarter than the President of the United States #sad
1205601686502412288,2019-12-13 21:33:35,blakelyandmandy,@nfl you are horrible for allowing #MichaelVick to even attend the #ProBowl What he did to dogs is awful and his punishment was not long enough he should be in jail! #boycottprobowl #sad #peta
1205601426556301312,2019-12-13 21:32:33,Kemp4Democracy,And poor Barron was born a trump. #Sad https://t.co/Ep1lYNj9WS
1205601320448729088,2019-12-13 21:32:08,TheDevinaKaur,"Is it possible to find love via online dating?
What about #Craigslist?
Your questions answered in the #AskDevina series
👇🏼👇🏼👇🏼
https://t.co/nhl7FhryiY 

Much love always,
@TheDevinaKaur 
❤️
#SexyBrilliant

.
#India #Marketing #Inspiration #relationships #faith #MentalHealth #sad https://t.co/YuA1aS5cdP"
1205601315621101568,2019-12-13 21:32:07,jencla63,@KevinMKruse I don’t begin to presume my senators give a rip what I think. #sad.
1205601209916305408,2019-12-13 21:31:42,divadamada,@AvantiWestCoast why aren’t you funny any more all I lived for was virgins tweets x #sad
1205601154601771009,2019-12-13 21:31:28,DoctorNorman,"Seasonal Affective Disorder (#SAD) is a type of #depression that occurs regularly, every autumn and winter, when the days get short and dark, though it may occur at other times as well... &lt;READ MORE&gt;

https://t.co/OULz900Q54"
1205600935629774848,2019-12-13 21:30:36,dr__Pepe__,@CNNPolitics Why?    Why should we be appalled because the pres advised this girl to be a kid and get help for the effects of her autism.  She’s being exploited by the left.   #sad
1205600814947012614,2019-12-13 21:30:07,RayshonMack,Doesnt matter Kevin. Julie and @cincyteachers will continue to endorse polticians who are literally going to vote against @IamCPS interests. #Sad https://t.co/ptYxcfhmbV
1205600802129293314,2019-12-13 21:30:04,mstcss,"Cute or not?
.
.
.
. . . . .
#fairytail #anime #otakubirpanda #otaku #animes #animegirl #animeboy #animedaily #animeworld #animeedit #manga #sad #animecouple #ship #animelove #animelover #animelovers #animedaily… https://t.co/5rLHKfevLQ"
1205600478144405504,2019-12-13 21:28:47,DavidGAustin,@realDonaldTrump Must be #sad to know that the whole world thinks a 13-year-old girl is more intelligent and a better human being than you. #impeached #pathetic #LoserPresident
1205600274804596739,2019-12-13 21:27:59,trotter1907,Never seen the green lantern but i pretty much loved all @VancityReynolds movies. So I think I am qualified to say that #6Underground sucked! Big time! #sad
1205600065546543106,2019-12-13 21:27:09,KState_Fan,@parscale One of the most corrupted officials to ever be in the White House. #TrumpCorruption #ImpeachTrump #RussianAsset #Friday13th #MoscowMitch #sad #MAGA #Shameful #RussianElected #DefendOurDemocracy
1205599704958066688,2019-12-13 21:25:43,tibetan_monkey,"#Florida is a #FlipFlop state, but not a #bicycle state. And that's #good and #bad, very #sad indeed. #Pedestrians are nowhere to be seen. I ride bike in flip flops. #Nirvana with #banana. Who wants to #walk? https://t.co/W2Forhzyuk"
1205599642118811649,2019-12-13 21:25:28,Socialist0215,@HoarseWisperer LOL! Comparing the UK to the US is not only illogical but also shows your fear and desperation 😁🤷‍♀️ #Sad!
1205599439148204033,2019-12-13 21:24:39,DjEM411,EVERYWHERE BLOCKED!⚠️ (no one in no one out)😑 #SAD
