id,date,user,text
1205611854145490945,2019-12-13 22:13:59,SprayDOM,@CBSEveningNews Why dont they just move it? #scared
1205610930593128450,2019-12-13 22:10:19,nickolasbenson,#OneEyeKaiFriyay It’s #fridaythe13th don’t be #scared by my #cuteness #oneeyekai #oneeyekaifriday https://t.co/j2iYzd6Hs8
1205606401244090373,2019-12-13 21:52:19,MinhCollins,"Digital and DVD release on Feb. 18th, 2020 by Lionsgate!  It's just us harmless clowns 🤡🤡🤡🤡!  Hahahahaha
#clownfear
#movie
#horror
#comingsoon
#lionsgate
#grindstone
#clowns
#bridesmaid 
#beafraid
#scared @ Los… https://t.co/7SeKjbv2Xq"
1205599611773165574,2019-12-13 21:25:21,hibbert_chris,#ghoststories with the bf he is bricking it lol #scared #bestbfeverright? @ The Ambassadors Theatre https://t.co/KaUhpCimj6
1205590661388476416,2019-12-13 20:49:47,fashion1987a,I got an email from July's kindergarten today that there was a unidentified man seen around campus the last few days. Brady and I are very concerned. I drop her off and pick her off but still.What is wrong with this world? #scared #Kindergarten #mommyblogger #mommysgirl #Prayers https://t.co/r2mgo5KTG3
1205588185280987136,2019-12-13 20:39:56,jem84244345,The mob threatened Atticus #ganggang #scared
1205587342762921988,2019-12-13 20:36:35,kirstyradders,"@eggmerelda @AlexMBridges @shaunwkeaveny I live in the only labour constituency in North Wales, Alyn and Deeside and I work in the neighbouring Labour seat in England, Chester. I am never going anywhere apart from home and work again. #scared"
1205586445278306305,2019-12-13 20:33:01,Maaninkavaara,"“I am not afraid to die; I am only afraid of saying goodbye to you forever.”

Shannon L. Alder
#dying, #fear, #goodbye, #hope, #illness, #living, #love, #scared, #sickness, #truth"
1205583438197248002,2019-12-13 20:21:04,notl1na,here we go again with cynthia and charli stuff #scared https://t.co/MnDfKUB4Zn
1205578352767176706,2019-12-13 20:00:52,_Paul_Hill_,"#mentalhealth #selfcare 

We don't have to be #positive all the time.

It's ok to feel #sad, #angry,#scared and #anxious.

Having #feelings doesn't make us #negative people, it makes us #Human.

My feelings have run my life, for too long.

I let them flow by. They do pass 😊💚 https://t.co/K15tAZjVXF"
1205575306981060610,2019-12-13 19:48:46,babyjida,yesterday i almost got robbed and today my mom got delivered over $200 worth of items under her name and i got wired $400 to my account with no information.... kinda #scared https://t.co/QaTkiu6y8u
1205575160918675456,2019-12-13 19:48:11,niaidk,@azorable @Harry_Styles zora we have the same faves and our moms have the same faves im #scared
1205565517542674434,2019-12-13 19:09:52,MarkEtheringt0n,"Friday 13th 👀
.
.
. ©studiomark

#friday13th #horror #scary #scared #GeneralElection #tory #conservative #WereAllDoomed #illustration #TheLastLeg @AdamHillsComedy @JoshWiddicombe #GetBrexitDone #brexit #boris #BorisJohnson #ConservativeParty #labour #politics https://t.co/9ihgEKKuHS"
1205565173530009606,2019-12-13 19:08:30,AfolarBj,@dammiedammie35 Patiently waiting for his arrival... All round feelings #excited #scared #fewdaystogo
1205556436199075840,2019-12-13 18:33:47,flyinlyons,#FridayThe13th #JasonVoorhees need nothr movie ... this @BlackChristmas didnt have it on the #scared side more a combat type fighting ... @Fandango #youKnowMe #worldfamousPatLyons baby #iPointShitOut
1205553725668036608,2019-12-13 18:23:00,moremalarky,@joncoopertweets Is @realDonaldTrump a fraidy cat? #scared #Impeached #notperfect
1205553489717473280,2019-12-13 18:22:04,notl1na,first@time doing selfies kinda #scared
1205550852519411712,2019-12-13 18:11:35,CountryLovemy,Do you know why #Pelosi says we cannot allow #PresidentTrump to be #reelected to a second term? Because he will undo all the #UnAmerican things the #CorruptDemocrats have put in place. They are #scared #shitless!! #TrumpLandslide2020 #AmericaFirst
1205536684831576064,2019-12-13 17:15:18,Mabeth62329729,I can’t seem to sleep well 🤔 any remedies that will help nightmares and sleepwalking out there ? #tired #scared #confused #regret
1205536624337182720,2019-12-13 17:15:03,RachnaDar,"They are eating a cake, design just like a dog. When they cut the face of the dog, their real black dog was so scared and his eyes are opened with great surprise. What a scene!    #picoftheday  #fridaythoughts   #dog   #scared   #scene https://t.co/puljYZaNPg"
1205534718554517504,2019-12-13 17:07:29,DianeLeicester,I'm now suspecting other half is trying to see me off. Strong wind and I'm seated by the low balcony 😬😬😬#scared https://t.co/9krI8MXl18
1205527488492912640,2019-12-13 16:38:45,turnerjmusic,"I was watching @scoobie_da_hookmaster in the #hotseat on the radio interview #smh.
I was looking with the ""damn, not my bro"" #face 
#selfie #scared #witness #murder #hurt #hanging #withthebro @ Baltimore, Maryland https://t.co/jjxzMFi3HJ"
1205527051681386498,2019-12-13 16:37:01,maztheexplorer,That scary moment when you remember your age. Shits real😐 #scared
1205521057014255617,2019-12-13 16:13:12,ginaandfriends,"Allegedly , Trump is so #scared , he can’t say the word #trail. 😂 #MSNBC #cnn #npr"
1205520820723798016,2019-12-13 16:12:15,Lisa70143954,@thehill I couldn't agree more. I'm scared  when the President can do anything he wants and gets away with it. what will be next.#scared
1205512913680846856,2019-12-13 15:40:50,formatwerbung,"Don’t walk under any ladders, Don’t break any mirrors, Don’t spill any salt, And don’t walk by any black cats. Happy Friday the 13th!

 #Fridaythe13th #Friday13 #triskaidekaphobia #superstition #fear #scared #unluckyday #jasontime #13 #goodluckday #uffbasse #happyalertday https://t.co/zaH3d4WwXk"
1205507200917086210,2019-12-13 15:18:08,DjCosPlayKide,"Happy Friday the 13
😈👿😈👿😈👿😈👿😈👿😈👿😈👿😈👿😈👿😈👿😈👿😈👿😈👿😈
#monster #loseyourhead #scarystories #happynewyear #youtube2019 #scarvesupminnesota #fridaythe13th
 #friendsgiving #scared #halloween #jasonvoorhees
#likeforlikes… https://t.co/5xAizbAmqq"
1205506017687146496,2019-12-13 15:13:26,Jeff_M_Manning,"@NotDoakSMU They won’t vote for @SMU_Football  because of the threat it would bring with recruiting in Texas! #Scared #PonyUpDallas
#PonyUpTexas"
1205505416957976580,2019-12-13 15:11:03,DjCosPlayKide,"Happy Friday the 13
😈👿😈👿😈👿😈👿😈👿😈👿😈👿😈👿😈👿😈👿😈👿😈👿😈👿😈
#monster #loseyourhead #scarystories #happynewyear #youtube2019 #scarvesupminnesota #fridaythe13th
 #friendsgiving #scared #halloween #jasonvoorhees
#likeforlikes… https://t.co/jwRFWHvIZb"
1205505012849348609,2019-12-13 15:09:26,crushyves,i turned in my chem retake test thingy and my teacher looked at the first page and cringed im #scared help
