id,date,user,text
1199563738849742848,2019-11-27 05:40:56,EggInkPDX,"Our kids deserve better. 
They can’t learn in an environment where they fear for their lives. 
#schoolshooting"
1199561039194546176,2019-11-27 05:30:13,AfrinewsReport,Afrinews Report: 2 shot at Washington state school; gunman shot him... https://t.co/6iDKlLwApK #schoolshooting shooting https://t.co/1IKMcsmb2E
1199550217835687937,2019-11-27 04:47:13,ParentSecurity,#schoolshooting | Active shooter response lessons from Saugus school shooting https://t.co/yamQpoWSTd https://t.co/SgJ2tgd9BE
1199550209392566272,2019-11-27 04:47:11,GregoryDEvans,#schoolshooting | Active shooter response lessons from Saugus school shooting https://t.co/68Fzk4gTl3 https://t.co/GMFv14LQ8L
1199543139851231232,2019-11-27 04:19:05,DaleDermott,"A year ago, after yet another #schoolshooting, Dick's Sporting Goods decided to quit selling #guns.

Today, ""Shares of Dick's Sporting Goods soared 18% after the company reported strong earnings and raised its guidance for the third time this year.""

https://t.co/AvZupAqgMj"
1199529203202314240,2019-11-27 03:23:42,ndavis_film,"Heres something they dont share. The paralyzing fear when your bff is a teacher and there is a #schoolshooting #lockdown at their school/the school youve volunteered at for 6 yrs

Luckily my school was safe. But I go to sleep tonight fearing for the metal health of kids I adore"
1199492270367629318,2019-11-27 00:56:57,NewsFromCCT,"Two people were shot Tuesday afternoon in the parking lot of Sarah J. Anderson Elementary school in Vancouver. https://t.co/Ws1DJx8HSz
#ClarkCounty #Vancouver #SchoolShooting #Crime #Violence #SarahJAndersonElementary #SheriffsOffice #Police #Fire #LocalNews https://t.co/7BuMzm740Y"
1199486830434897920,2019-11-27 00:35:20,CuntyLiberal,@aubrey_huff @BernieSanders @realDonaldTrump @NRA @WatchChad Remind me where your young white males go to school? #redflag #GunViolence #schoolshooting
1199479230695739394,2019-11-27 00:05:08,EggInkPDX,"Another day, another shooting at a school. If you think, ""Not my kid's school"", you're wrong. No one is immune. #schoolshooting https://t.co/lYVvrdagqi"
1199429500339195909,2019-11-26 20:47:31,Shimha18,"@ABC Things Republicans treat worse than Dogs....#Children #ImmigrantChildren #Immigrants #Students 
#SchoolShooting #NeverAgain #StudentLoans"
1199401348891963393,2019-11-26 18:55:40,K12ssdb,"2018 had the highest number of gunfire incidents at schools recorded since 1970. With 5 weeks left, 2019 is nearing the same total. More on https://t.co/r550KrEqTo. #schoolshooting #crimtwitter @CampusSafetyMag @theviolencepro @ABC @npr_ed @GunsReporting https://t.co/DAt8vJ9uF7"
1199397577273163776,2019-11-26 18:40:40,K12ssdb,"According to a report, 17YOM student was interviewed over the weekend by officers after he allegedly stated on @Twitter that he was ""messed up in the head"" and wanted to shoot up a school. #schoolshooting #threat Story by @FoxNews https://t.co/DQay9dD8z6"
1199396906956247042,2019-11-26 18:38:00,K12ssdb,"Greenfield High School is closed Tuesday, Nov. 26 due to a threat of a #schoolshooting. According to the school district, Greenfield police vetted the threat and found it was not credible. Story by @CBS58 https://t.co/uIWXvuga6f"
1199396615091408897,2019-11-26 18:36:51,K12ssdb,"Students saw something, and said something. Authorities found an AR-15, 100 rounds of ammunition, a school map, and hit list at the student’s home. #schoolshooting #averted #threats Story by @CampusSafetyMag https://t.co/34TXLDV5kq"
1199383066394976257,2019-11-26 17:43:01,ParentSecurity,"#schoolshooting | Guy Doesn’t Play In NBA Debut, But Encouraged By His Progress https://t.co/6L2pwLxS1h https://t.co/eKhjsgheNj"
1199383058841001984,2019-11-26 17:42:59,GregoryDEvans,"#schoolshooting | Guy Doesn’t Play In NBA Debut, But Encouraged By His Progress https://t.co/KJoC2I1HUI https://t.co/QoiMM8pDi6"
1199362101703086080,2019-11-26 16:19:42,abneremiralda,"PTSD is real and now we have kids suffering from it. Heartbreaking to hear how something like fireworks is so small to many, yet can be so hurtful to those affected. #SchoolShooting https://t.co/Gi3HiwIvS1"
1199354749885149186,2019-11-26 15:50:29,K12ssdb,"“School shooters are usually current or former students, repeated #activeshooter can actually provide a blueprint for a #schoolshooting that is well-rehearsed and normalized, as well as traumatic for students and staff.” Story by @PoliceOne @jillkpeterson https://t.co/XKq7vKS0M5"
1199353097761382401,2019-11-26 15:43:56,K12ssdb,A shooting outside an elementary school on the West Side Monday morning sent students and teachers rushing to take cover. The victim also ran inside Catalyst Circle Rock Charter School. #schoolshooting Story by @ABC https://t.co/mwl7uU9eMM
1199346618727690241,2019-11-26 15:18:11,K12ssdb,Students felt the need to start a club last year at West Lincoln High School that they called the Rebel Safety Society. The club is intended to help students become more aware of the potential of a #schoolshooting at their school. Story by @LincolnTimesNew https://t.co/JgEO25yb53
1199331431593467909,2019-11-26 14:17:50,BrowardAdvocate,It means nothing to address the gun without addressing the violence. #Safety #schoolshooting #Violence #GunViolence
1199315845794684929,2019-11-26 13:15:54,JeanMax_Jr,"Two more boys boys shot dead yesterday in an Elementary School Parking lot shooting 

#GunControlNow
#GunReform
#schoolshooting

https://t.co/QvA98QYMJF"
1199300858028052480,2019-11-26 12:16:21,TempoTemptress,"@Macys @LEGO_Group @nickjr @Coach @NewYorkLife @CrackerBarrel Remember the children effected by #SchoolShooting &amp; the #Military who have #PTSD.

#Fireworks can trigger emotions problems, scare animals, are hazardous to our health &amp; pollute our environment.

#BanFireworks , invest in #holographic #LightShows &amp; #SaveOurPlanet #ClimateChange ."
1199276377263919105,2019-11-26 10:39:04,elixarose,"#saugushigh students said they survived the #schoolshooting because during active shooter drills they ""learned just to run."" Over 135K @SumOfUs members are calling on @Visa to help end this heartbreaking new normal. https://t.co/SE3he5VGj5
https://t.co/xmp5lD0Y8p"
1199231548496564225,2019-11-26 07:40:56,latestlaws,"US: 21-year-old man pleaded guilty to sending false shooting and bomb threats to schools, says Federal Prosecutors
#Law #Latest #LatestLaws #LatestNews #LegalNews #News #Legal #UnitedStates #GUILTY #shooting #shoot #prosecute #schoolshooting #school #Guilt
https://t.co/XEgjHwtEhY"
1199216347911249920,2019-11-26 06:40:32,ParentSecurity,#schoolshooting | Why US gun madness will be a key election issue for Donald Trump – Henry McLeish https://t.co/y27GKy8Fl6
1199216342978695168,2019-11-26 06:40:31,GregoryDEvans,#schoolshooting | Why US gun madness will be a key election issue for Donald Trump – Henry McLeish https://t.co/2nTBW2JYKj
1199211498192560128,2019-11-26 06:21:16,davereyn83,#Action #Romance #SpousalAbuse #ChildAbuse and a #schoolshooting are all part of my novel Bring My Baby Home available now on #Kindle @Kobo and #GooglePlay. https://t.co/RZOVImQTIy and https://t.co/Gwa0KPTrTm https://t.co/vQ2t7vyvAk
1199166000467304448,2019-11-26 03:20:28,JennBurrill,"As part of examinations of old, questionable cases, the #prosecutor’s office found numerous errors in the #investigation of the 1984 #schoolshooting case. The review concluded a different student actually shot the junior high student.
https://t.co/DW9FHxdwrN #innocence #CJReform"
1199147630552633349,2019-11-26 02:07:28,endshootings_,"Rest in piece to the students who were shot at Santa Clarita High School. A 16 year old girl and 14 year old boy in California. Please be aware of the dangers of school shootings. 
@Everytown @CGCguncontrol 
#schoolshooting
#StayInformed #SLSSENG2D
https://t.co/dG8JSBwsZL"
1199089328044929025,2019-11-25 22:15:48,EC0CHICK,"#saugushigh students said they survived the #schoolshooting because during active shooter drills they ""learned just to run."" Sign the @SumOfUs petition calling on @Visa to help end this heartbreaking new normal: https://t.co/9QmFRkg9M5"
1199073134848163842,2019-11-25 21:11:27,tracee_ducker,My son is in 8th grade. He often wonders what he'll do if faced with a shooter. I bought him this book for Christmas. #MeadowPallock #schoolshooting #Fixit https://t.co/o6dMKWVYpG
1199071788296069121,2019-11-25 21:06:06,LATruckInsuran2,"Los Angeles Student Arrested After School Shooting Threats

https://t.co/RsauuxDvDs

#LA #CaliforniaNews #LosAngelesNews #BreakingNews #School #Schoolshooting #Tragicnews #StudentArrested #Schoolsafety #LASheriff https://t.co/aJxyt3sVMH"
1199063156884029440,2019-11-25 20:31:48,aftermetheflood,"“Gun Right’s Activists Petitioning US Military to Recruit School Shooters” by Christine Anderson
https://t.co/VzsVl0C9my #satire #comedy #humor #guns #gunrights #schoolshooting #military #violence  ⁦@TheOnion⁩"
1199049979295391745,2019-11-25 19:39:26,ParentSecurity,#schoolshooting | Could a teenager mail-order kit parts and build a pistol? https://t.co/Vj8uhEZJpK https://t.co/PMBnnrXANR
1199049970437042178,2019-11-25 19:39:24,GregoryDEvans,#schoolshooting | Could a teenager mail-order kit parts and build a pistol? https://t.co/cNv6Y2DgrL https://t.co/xrxDr24Sj7
1199018904338780160,2019-11-25 17:35:58,ZacSmithNEWS,"Interview with Lamperd Less Lethal CEO Barry Lamperd Now Available from Alpha Street Media 
Discussion Focuses on Safe and Effective Solutions to Mass Shootings
https://t.co/GBKG2cPTV2 #massshooting #schoolshooting"
1198970211690352640,2019-11-25 14:22:28,RhondaBarket,"@realDonaldTrump 2 boys shot dead while sitting in a van at an elementary school parking lot.

Trump tells senators 'You're afraid of the NRA'

What happened to closing background check loopholes and red flag laws sitting on Mitch’s desk? 😢🇺🇸
#mondaythoughts #schoolshooting"
1198966864929406977,2019-11-25 14:09:10,WayneHoss,"#schoolshooting #mass-shooting #why 
 They Always Ask Why - A Look at What Makes People Snap and Kill by Wayne Hoss @waynehoss at #smashwords https://t.co/ak8nIwe17Z"
1198960136695566336,2019-11-25 13:42:26,jameswzegan85,"The only thing more disturbing than this fact is that there are some people who think EVERY school shooting was faked
#SchoolShooting #GunControlNow https://t.co/0ap6eWdjxc"
1198948328429572097,2019-11-25 12:55:31,Jim_Diamond,"South Los Angeles middle school officials learn of possible #SchoolShooting. Police arrest 13-year-old student, seize AR-15 rifle and ammo, preparatory map of school and list of possible targeted students/teachers. #MassShooting #GunViolence #Rampage https://t.co/5rYhLfSQaD"
