id,date,user,text
1197778701242523650,2019-11-22 07:27:50,argusdog1206,"@MysterySolvent @CarolAlmero1 The face of the GOP. Sweaty, contorted with anger, and a question dripping with condescension and sarcasm. Did you catch the white power sign he threw at .24 secs?"
1197777301703987200,2019-11-22 07:22:17,DianKatze,"I may apply for citizenship for a surprise country. If you ridicule or silence or anger me, you'll have to face the consequences"
1197772023109316610,2019-11-22 07:01:18,Sushilicious5,"#vagabond this is the face that states 'Anger, Vengeful' https://t.co/hG3AE9faSP"
1197768797765165056,2019-11-22 06:48:29,Patti80612051,"@Dragonite69 @MBarreto10 @IlhanMN @SenSanders Anger can be good if channeled in the right https://t.co/C16hlKZ2rm our society people take a pill to mask their feelings,which is a bad thing.We need to face our feelings,examinthem &amp; use them constructively.Not cover them with a pill.Sometimes the negative is  really Positive."
1197768278539558912,2019-11-22 06:46:25,nickjlo,When I chat to people on here a lot echo this exact sentiment; of feeling angered that a solution for their issues existed (long term or not) that no-one told them about. Anger that is added to when they have to face what is too often just offhand mockery. https://t.co/7dzqQWFixE
1197766927155904513,2019-11-22 06:41:03,Bristayy,"I have no pitty for someone who has ever loved someone and out of anger say disgusting things or throw your shitty childhood in your face. 

I don’t give a fuck about you 👏🏼👏🏼👏🏼 

Sounds like you’re finally the one who “needs to get help.” 

TIME IS GROWTH"
1197766786109890560,2019-11-22 06:40:29,leftyvegan,"@DavidSpuria @mark_gander3 Nobody gets me to an ""I want to punch her lying face"" level of anger like eDubya, though. Kopmala and Bootyedge are right up there, though."
1197765620206624768,2019-11-22 06:35:51,_purphaze,scared to vent cuz i don’t need shit thrown back in my face out of anger. ppl r wack
1197765061026017280,2019-11-22 06:33:38,conidave,@swsog @flm22 Can you even imagine how many time he must have stood in front of the mirror practicing making that face of anger trying desperately to get people to believe that he actually has a soul &amp; is able to feel empathy? Ha!
1197763225741352960,2019-11-22 06:26:21,UNHCRCanada,"We🧡Basma, Jad, &amp; their baby goat, Ma'zooza - 3 new @SesameStreet muppets! They will be teaching children about emotions like fear, anger, loneliness, &amp; determination - all part of a hope to help heal the scars of war that refugee children often face.

https://t.co/Pa7tzXB6Bk"
1197761417140744193,2019-11-22 06:19:09,wright_j_torrie,@Jessiereyez @RecordingAcad Lmao her face read all the stress/anger/confusion that I feel waking up for work everyday 😅😂🙃
1197758076058656768,2019-11-22 06:05:53,singonlineno1,"Who will face #SalmanKhan's anger
#SidharthShukla or #AsimRiaz 
#BiggBos13 #BB13
👇👇👇👇
https://t.co/xBzo1NvSqv"
1197757517281058818,2019-11-22 06:03:40,onlyoneCindy,And you mock God's face @HillaryClinton @SpeakerPelosi provoke him... His hand is slow to anger ... But I hope ...
1197756492683907072,2019-11-22 05:59:35,Oceanside112,@LovingNaomiA shes gross i csnt say it enough she's looking like a bull dog with the anger in her face
1197755979368194048,2019-11-22 05:57:33,BANOO_99X,"“When things get out of control and my face shows signs of sadness, anger, annoyance, or tiredness, and when I can't hide that I'm not as good as I usually do!.. don't ask me about myself, and don't try to force me to talk, leave me to calm, Let me rebalance, rearrange my face,"
1197748241493831681,2019-11-22 05:26:48,luderetympanis,"@IUDICIOREBELLIS picking the phone up from where she had placed it, the male read the words on the screen. his face was visibly reddening out of sheer anger.

     “i’m going to kill them... i swear i will find who runs this account and bash their fucking skull.”"
1197745075863740417,2019-11-22 05:14:13,KutbuddinSaify,"BJP Government has destroyed people's faith in Country's Banking System !
One of the most respected Institutions of country has to face anger of people due to Scam of BJP Leaders in PMC Bank Scam !
@RBI @INCIndia @IYC @IYCMaha @IYCMadhya @OfficeOfKNath 
 https://t.co/psBLeWv9Da"
1197743012777906176,2019-11-22 05:06:01,shogunpukinbot,"After coughing up some blood, Hana looked up, and with a look of anger… 
…She spat blood on Pukin. 
Pukin’s eyes filled with rage, and she kicked Hana’s face with all her might, slamming her head to the wall, knocking her out."
1197742567431057409,2019-11-22 05:04:15,injum81,"#سوچ_کا_سفر
#عشق_شاعری 
Non Violent Communication stems from different factors, one of which is anger. Exercising refrain in the face of anger can help avoid a non-violent discourse!"
1197737604340256769,2019-11-22 04:44:32,rohanrgupta,"BJP Government has destroyed people's faith in Country's Banking System !
One of the most respected Institutions of country has to face anger of people due to Scam of BJP Leaders in PMC Bank Scam ! https://t.co/YfPvDJjyM3"
1197736146282827776,2019-11-22 04:38:44,JimTragos,"@JCLRRA Delusional ramblings, undisguised anger, juvenile use of language, paranoid expressions of victimhood, baseless conspiracy theories and pharmacologically induced sweat running down an ugly, bloated, cellulite-flecked face.
You know, the usual."
1197730641644785664,2019-11-22 04:16:52,Mazuma99889380,@Mshazi_Mahlobo @BoswellMuleya @mzwandileMasina @ADaniel26099125 @bonganibongo2 @NPA_Prosecutes @RonaldLamola @CyrilRamaphosa @JacksonMthembu_ @tito_mboweni @MYANC Kante pravin ole dirileng people eff is playing with u they must always have a face to associate their anger with they have chosen pravin this time and u always fall for it
1197730567825043457,2019-11-22 04:16:34,Evangeline6510,"So, watch Castor’s face as Hill uses his hostile question about her “anger problem” to put into the record how Sondland worked at the express direction of Trump, Pompeo, and Mulvaney over and over again. 🤣 https://t.co/cBYU1M2qWg"
1197730238832283650,2019-11-22 04:15:16,TaeWithJoonAnd1,"@girlyfanaticOT7 forming on his face, as you slapped him, fire in your eyes. Anger flashed in his eyes, as he grabbed your wrist. ""It's ok baby. Daddy's going to make it up to you"" he hissed, as he covered your mouth with his, fingers knotted in your hair, tugging just enough to hurt so good."
