id,date,user,text
1197963203466158084,2019-11-22 19:40:59,MonStardustX,"@KimchiKimbapKim @OfficialMonstaX @STARSHIPent I am so I’m retweeting tweets of people that can articulate their thoughts better than I can with mine
😂💔
#MakeAChangeForMX7
#너란빛은_누구도_가져갈수없어 
@OfficialMonstaX
@STARSHIPent"
1197963199439605760,2019-11-22 19:40:58,yssar97,@LoneYe_ Good hoe 💔😹
1197963192703565824,2019-11-22 19:40:56,the1st_48,@bra_marfo_ @van_felix12 This guy be taller than me ei 💔🤢met him last year when soldier man carry me go demma dressing room for pictures
1197963187863326721,2019-11-22 19:40:55,_Chiskop_Hunn,I'm blocking anyone who is going to be retweeting that pic😭😭😭💔 https://t.co/rsXTN82SxN
1197963183928926208,2019-11-22 19:40:54,efrasandovalm,@vicens__ C H A L E 💔
1197963178015166464,2019-11-22 19:40:53,Dinny_Thulo,This is so my phone😭😭😭😂😂😂😂😂 e kena chargeng e le 0% ha o e laeta ere 97% 😭😭😭😭😭💔 https://t.co/VuDwVyrBBT
1197963176656158720,2019-11-22 19:40:53,yourbeh,"@maj___u Thank you, first they come for our ships then they’ll come for our NHS. We need voices like you to speak out 💔"
1197963172512227329,2019-11-22 19:40:52,NelisiweKekana,#TheQueenMzansi can't @SKcoza come back as a ghost?? Ao ngeke phela😭😭😭😭💔 https://t.co/HsRk8bkgdn
1197963172075978752,2019-11-22 19:40:51,CatLove94864377,@HelenArmstrong5 So very sorry for your loss. 💔
1197963161263116288,2019-11-22 19:40:49,Aji_I_Are,He really really burnt the car? 😭😭💔💔 https://t.co/Kme8P8D4dV
1197963158234615808,2019-11-22 19:40:48,GrannyBeachLife,"@BillyCrotti @codeofvets So very sorry for your tremendous loss. Thank you brave sir for your service.

💖💔🙏🙏💔💖🇺🇸🇺🇸"
1197963157232205824,2019-11-22 19:40:48,KrtRussel,A mistake i didn't count for 💔
1197963157047775235,2019-11-22 19:40:48,mvbvrvk,Heartbreaking💔😩 https://t.co/ZkSoNMtoea
1197963148101328899,2019-11-22 19:40:46,oumasai,i miss oumasai 😭😭😭💔💔💔🙏🙏 bring them back to me
1197963142761988102,2019-11-22 19:40:44,shelleyimeson,@HelenArmstrong5 So sorry 💔
1197963133584887813,2019-11-22 19:40:42,SophieHassell30,So true 💔 https://t.co/tHJqfWHZ8I
