id,date,user,text
1205594275720785920,2019-12-13 21:04:08,1DesignerLife,"😱👇🏼👇🏼👇🏼

Thousands Of 'Penis Fish' Wash Ashore California Beach For Miles https://t.co/ohh9Hec8dw"
1205594268410273792,2019-12-13 21:04:07,M_Shaffer21,@_coleworld19 Damn everyone’s leaving 😱
1205594265977528320,2019-12-13 21:04:06,_jackmick_,"@trumpgirl35 😱😱, surely they can't just take your son off you, this is heartbreaking, you can't let them getaway with this 😠😠"
1205594237015904257,2019-12-13 21:03:59,J_Green_505,Commencement is tomorrow &amp; the university is at the end of the same road we live on.😱 https://t.co/phBiH6uJHC
1205594220771328000,2019-12-13 21:03:55,salyhaiftikhar,@aliqasim You don’t know? 😱
1205594216568676355,2019-12-13 21:03:54,anitazninz,@CashApp Pay attention to me @CashApp 🙏🙋‍♀️💵🤞😢🤦‍♀️🤗😱🤯🥵🥶😤🤑🤐🥱😿😼🤲🏼🙌👐🤝👏🤛✊🤟👌🤏🤞✋👋🙏💋🗣🦹‍♀️🧞‍♀️🧞🧞‍♂️🙋‍♀️$ninz90 #cashappfriday
1205594216321077249,2019-12-13 21:03:54,GorillaFan4Life,@kcpolice The Social Security office is trying to get a hold of me....😱🤣
1205594167839203328,2019-12-13 21:03:43,sasseyjudy,@heughanverse Sometimes you just have to get to the meat of the subject!!😱 even though it’s all great. And believe me it’s all great!!❤️❤️. And then there’s Sam who’s always great!! ❤️🌴 https://t.co/tynDOqCl0P
1205594160557887489,2019-12-13 21:03:41,lilfitz1,Officially done with my 4th semester of grad school 😱😱 “only” 5 semesters left until I’m an NP!!! (we won’t talk about how much longer I have for the DNP). #nurselife
1205594159911858177,2019-12-13 21:03:41,timmainsson,@CjWalke19139700 😱 With your boots on? 😂🤣😂😂
1205594142035849216,2019-12-13 21:03:36,LogieiOS,@SheerinWill 😱 thanks
1205594120129011713,2019-12-13 21:03:31,LIGHTt2013,@Sanaalhassan2 She's his real grandmother 😱
1205594102336802816,2019-12-13 21:03:27,Mckeitch,@Ellis_Campbell1 @CallTheMidwife1 @BBCOne @PBS In Dublin too 😱😱😱
1205594084414566400,2019-12-13 21:03:23,Hcouto91,😱😱😱😱😱😱 OMG it’s a shundo 🤩🤩🤩🤩🤩🤩🤩 https://t.co/RCg5ANL6K6
1205594049274503168,2019-12-13 21:03:14,RyanDeWilde,Shocking. It’s almost like....he lied to voters? 😱 https://t.co/ADPtKT5bNR
1205594030521901056,2019-12-13 21:03:10,LAWilsonWrites,@laura_ellwood Pork pie? Ffs I smoked a cigarette. And then another. If I don’t bin the pack right now I’m gonna be a smoker again. 😱
1205594022728912896,2019-12-13 21:03:08,GigglesResists,It’s Friday the 13th and no surprise that mitchie Mconnel is trending...he’s the stuff of nightmares...😱
