id,date,user,text
1197777253222043648,2019-11-22 07:22:05,MarvilMian,@EAFIFAMOBILE @EAFIFAMOBILE Could you explain this to me???? Why the duplicator dorsnt work??? Why did i just buy??? 😑😑😑😡🤬 https://t.co/R7W0JjhSDl
1197777186952040449,2019-11-22 07:21:49,MD_5ive,"sneaky ass. lying ass. bitch.

feeling: betrayed 🤬"
1197777173194534913,2019-11-22 07:21:46,afifkhrl,Stop complaint about your problems when you're the one who create it. Dumbass 🤬
1197777123546525696,2019-11-22 07:21:34,panda_103,@SonnyBWilliams So disgusting 🤬😡😳😔
1197776944256831488,2019-11-22 07:20:51,Terryzarsoff,Great News for we Plebs state treasurer Jackie I didn’t know 🤷‍♂️ Tradd has to front the Ethics committee 🤬 Throw the Farging book at her💪🏼
1197776806301990913,2019-11-22 07:20:18,Reese61477,Nothing like being stuck in the hood changing a tire. 🤬
1197776766888292353,2019-11-22 07:20:09,PaulVader27,@Lord_Arse Terminator 2 on the NES... That BASTARD motorbike level!🤬
1197776602521853954,2019-11-22 07:19:30,yamcity1214wop,I just be thinking one day she just gone show up and walk through the door 🚪 talking loud 🗣 cussing 🤬 loud and fussing 🤣 mannn I miss kicking it with u Mama Jo 🕊😇💜 fly high forever sweet lady 😍😢😎
1197776556292227072,2019-11-22 07:19:19,Gary_Gowers,#bbcqt clip of that moron whining about earning over £80k and having to pay an extra tenner a month in tax should come with a health warning 🤬
1197776552961957890,2019-11-22 07:19:18,Studio_Bim,Damn you Revit and your double esc to exit the material editor discarding all my changes!!! 🤬
1197776340071649280,2019-11-22 07:18:27,SamirBenSliman1,Inadmissible ! 🤬 https://t.co/wmWi95FFb7
1197776246098333696,2019-11-22 07:18:05,WorvellMichelle,Thanks @LNRailway guard who wouldn’t let me on train at Bletchley just now even though the train was in the platform just sat there! 🤬
1197776215110643712,2019-11-22 07:17:57,nofreakinname,WTF is wrong with people! I hope they find the mofo who did this and release their name to the public. 🤬😤🤯 https://t.co/mjbXhfA63n
1197776146319970304,2019-11-22 07:17:41,MaxwellA1710,"@Michaeldmac2006 @LoveNotGreed Humans suck! I despise people who cut down healthy trees simply because they can.
My neighbor removed a beautiful Maple because his wife didn’t like the leaves falling. 🤬"
1197776023338835968,2019-11-22 07:17:12,__therealmk,WTFFFFFFFFFF BRUHHHH😤😤😤🤬
1197775978728230912,2019-11-22 07:17:01,celtclogs,@janemarielynch @CHardyPeeres Hope your paying for this yourself LINDSAY sweetie 🤬😡🐩.
1197775960206127104,2019-11-22 07:16:57,lorettam854,"@CBSPhilly @HMonroeNews This should not be down graded. This is why these animals keep doing this shit , because they keep getting away with it. It’s clearly assault and battery at least. Start holding people accountable for their actions. 🥵😡🤬"
1197775850751414273,2019-11-22 07:16:31,r0bbiejaym3s,@OMFGRealityTV I can’t believe Bravo is doing this to Monique 🤬
1197775800281391104,2019-11-22 07:16:19,topwater2012,@tyler_casper “Ok boomer” 🤬
1197775769826512896,2019-11-22 07:16:11,itzlukee,I fucking HATE people who complain. Picked up some slack @ work for people who can’t handle their own work and now I’m getting fucked in ER. This is what I get for playing mr. nice guy 🤬
1197775664339922944,2019-11-22 07:15:46,robbreezy210,@2LarryJohnson7 This is effing insane.  SMMFH 😡🤬
1197775637835943936,2019-11-22 07:15:40,jeysunsesss,@LowiwiKrx J for Jason 😭😘😛🤬❤️🔥🌍
1197775505791111169,2019-11-22 07:15:08,TT_Blog,„Familie“. 🤬 https://t.co/oyTNKq0jIv
1197775367399829504,2019-11-22 07:14:35,BrutalBhau,@7Cricket @copes9 Umpire 🤬 https://t.co/WYFPwDIVCM
1197775337981120513,2019-11-22 07:14:28,tracikc,@jolorna @BritishGas Cancel all your payments to them and watch how quick they call you 😂🤬😘
1197775115704029185,2019-11-22 07:13:35,missybelly,@SeptiembreOnce Seriously..??? They set fire to a mall..psychopaths......I don't understand this philosophy that preaches it is pro people but destroys people's jobs. Hypocritical psychopaths....🤬
1197775048624529408,2019-11-22 07:13:19,Cornetjiegreeff,The 2019 award for WORST SERVICE PROVIDER goes to @Vodacom !! Your dropped calls and lack of signal is really admirable!!! 🤬 Plus aren't you supposed to send a warning when data is running out? #badservice #nosignal #canMyContractPleaseEnd
1197775011060342784,2019-11-22 07:13:10,monacograndprix,CIA directed Mark Zuckerberg throughout the entire fraudulent creation of Facebook at Harvard. CIA insider alleges that the entire fraudulent social media network called Facebook was always controlled by the government through the people who were at Harvard directing Mark. 🤬😱
1197774981901492229,2019-11-22 07:13:03,haalloowman,@Brn2Wander1 @AACdotCom @SpeakerPelosi She needs to stop drinking 😠🤬
1197774845565644800,2019-11-22 07:12:31,chetspence_,@trotmnn__ That bitch was so hard 🤬😂😂😂
1197774677281665024,2019-11-22 07:11:51,TODOROJIN,look at my puppy 🤬‼️ https://t.co/veCUkEQvaA
1197774626874707969,2019-11-22 07:11:39,MurrinDianne,@TSB why are thousands of TSB customers without wages today????? All my NHS colleagues are affected but so are lots of non NHS workers!!! Sort it out TSB - we want our pay!!!!!!!!!!! 🤬
1197774562919899136,2019-11-22 07:11:24,SB_Maestro,Why am I waiting 20mins + for someone to accept my request 🤬 @Uber @Uber_Support
1197774532884516864,2019-11-22 07:11:16,melanin_mindset,My ex calling me at this time with bullshit 🤬
1197774512361619457,2019-11-22 07:11:11,ErickDelRay,People expect confidentiality when getting tested since there’s a stigma associated with HIV. LGBT activists and orgs are moving heaven and earth to fight this stigma only to be ruined by these kinds of volunteers. Don’t fucking volunteer kung ganito kayo. 😤😡🤬 https://t.co/YWUM8hNc4t
1197774508754554883,2019-11-22 07:11:11,XposeTrophyHunt,"2nd critically endangered Sumatran elephant is found killed in a week in Indonesia as female is poisoned days after poachers decapitated another. 😫🤬
@Protect_Wldlife @PeterEgan6 @_AnimalAdvocate @RobRobbEdwards @ARCrusade @shaunwalters041 @Ivy_Middleton 
https://t.co/5fycEaQj2D"
