id,date,user,text
1205601203851288576,2019-12-13 21:31:40,HOBIforehead18,"This wouldn't happen if there was control, mods to delete fake fans.... There is no control at all! Even the boys can see hidden posts 😡"
1205601202748063744,2019-12-13 21:31:40,JanaBananaSays,I work with bozos 😡
1205601196125413377,2019-12-13 21:31:38,ajisaihunter,"WHO NAMED THIS MOVIE, THIS DOG IS NOT UGLY I AM SO MAD 😡 DON’T BE MEAN TO HIM! https://t.co/2irpiJAjSp"
1205601155914649602,2019-12-13 21:31:29,tayxin_,i just wanna spoil my family w the world n then some 😡 https://t.co/yyzEbi14bk
1205601147098021888,2019-12-13 21:31:27,27Shz,"can you guys please report this guy
BEFORE THIS he already steal someone glsl file
LIKE THE WHOLE GLSL
and called the shader his 😡
he takes pio diamond shader whole shader and said the sky is ""ORIGINAL"" wtf man
he even called sun flare a ""rotating sky"""
1205601128228020224,2019-12-13 21:31:22,KennyKruger1,Damn Jose Aldo killin himself tryin to make weight and Jessica Eye doesn't give two shits to even try.🙄😡 https://t.co/5p6MQsCgvZ
1205601127473041409,2019-12-13 21:31:22,ZIONBWS,you better come to argentina sir😡 @NewHopeReece https://t.co/QrnMdHtLog
1205601123853320192,2019-12-13 21:31:21,fenrir_71,"@jidk1187 'Nuff said? 😡
#NoMoreProfitsBeforePeople https://t.co/5jAx5Cx37n"
1205601093159276544,2019-12-13 21:31:14,luvtaehyung__,"min yoongi if you dont shut up 🤐 rn is2g 😡🤬 im gonna end up loving u more than i already do 💗💓💕💞

""i dont understand, but i love you""
""thats okay language barrier is not important between us"" https://t.co/DnowVvY692"
1205601084229730305,2019-12-13 21:31:12,geeezgeri,"@Winning45KAG @SweetKat111 @RepBrindisi Represents us as well. 😡 I don't know how""they"" pulled that off."
1205601078818963456,2019-12-13 21:31:10,OsideCaFlorist,@ABC Disgraceful...  😡
1205601059931975680,2019-12-13 21:31:06,savannahpeace,@ElisaC @IndivisibleTeam It should NOT matter. They should be putting country over party — not their jobs 😡
1205601046380339201,2019-12-13 21:31:03,SparkxFalcon,Love coming back home to find that my home network is apparently not being picked up at all. Like wtf 😡
1205601034086825985,2019-12-13 21:31:00,ccarolinemmorr1,@guyverhofstadt @Jackson_Carlaw Brexit is English not British 😡
1205601033537413120,2019-12-13 21:31:00,andrewdunning,"@rjsmall I’m on it ..... and pretty damn annoyed 😡 so sorry, expecting @loafhome to fix the repair next week!"
1205601020677632001,2019-12-13 21:30:56,no__homo__tho__,@asofthomo ugh the last answer. rude 😡
1205600999978745856,2019-12-13 21:30:52,Reece_JP,Better not be😡 https://t.co/m8ZXDNLAzN
1205600981775507456,2019-12-13 21:30:47,BarrattGareth,@katewhowasgreat @daybreakwr @daybreak @netflix They don't can't seriously cancel it? 😡😥😥
1205600978654945280,2019-12-13 21:30:46,NancyJReed1,@wave3news Hell NO !!!😡🤬
1205600978025603072,2019-12-13 21:30:46,josephus58,@leftyjennyc Not to mention no doubt Russia put their thumbs on the scale there too 😡
1205600971738550273,2019-12-13 21:30:45,EmmakBCFC,@thetwobutchers I actually pretended to poke his eyes out dad 😡
1205600951928799233,2019-12-13 21:30:40,killgoou,@CB97_PRINT @joohwrld miss you’re convincing me on punching you 😡😡
1205600943665864704,2019-12-13 21:30:38,Arpit_Harsola,"@ramyanee_ @narendramodi @AmitShah @himantabiswa @PMOIndia @sarbanandsonwal Punjab, Rajasthan, MP, UP , Delhi and many other states having migrants Hindus, Sikh... and people from all other states don’t have any issues if they get citizenship, only few people in Assam has problem, they want innocent hindu and Sikh to be killed by Bangladeshi jahadi 😡😡"
1205600925710213126,2019-12-13 21:30:34,Francenio1,I really HATE driving 😡
1205600924967874561,2019-12-13 21:30:34,Deborah83632815,@ACTforAmerica You forgot .... hate 😡
1205600918550528001,2019-12-13 21:30:32,malebogadoo,😡again
1205600915635482627,2019-12-13 21:30:31,SN00PYW00,@JIGGLYJ00N GF LOVES YOU WTH 😡😡😡😡
1205600911592173568,2019-12-13 21:30:30,khan_jadoo,@momikhan22 Momi...😡😡😡
